code_insee,code_postal,latitude,longitude,nom_commune,departement
91665,91620,48.6610194975,2.26503430984,LA VILLE DU BOIS,91
17300,17000,46.1620643972,-1.17465702836,LA ROCHELLE,17
33417,33480,44.9726615806,-0.913525242529,STE HELENE,33
91132,91730,48.5167739657,2.21800082924,CHAMARANDE,91
12202,12000,44.3582426254,2.5672793892,RODEZ,12
89073,89350,47.7800283506,3.07775894136,CHAMPIGNELLES,89
18279,18100,47.2368836077,2.0790757049,VIERZON,18
24273,24480,44.8119248894,0.82474050426,MOLIERES,24
14333,14600,49.4129449727,0.237579361279,HONFLEUR,14
07145,7170,44.6192177092,4.46630461903,LUSSAS,7
24037,24100,44.8543751872,0.486529423457,BERGERAC,24
57338,57720,49.0782664216,7.35808063345,HOTTVILLER,57
71295,71310,46.7945134241,5.18412548455,MERVANS,71
73024,73260,45.4607199042,6.44362178612,LES AVANCHERS VALMOREL,73
85155,85000,46.7104764993,-1.46129661418,MOUILLERON LE CAPTIF,85
45142,45450,47.9326007256,2.16025043268,FAY AUX LOGES,45
78551,78100,48.9407041394,2.09870929375,ST GERMAIN EN LAYE,78
80685,80700,49.6936899931,2.78868757676,ROYE,80
66141,66380,42.7487012331,2.91497381059,PIA,66
24352,24600,45.2457883325,0.334782848632,RIBERAC,24
29027,29520,48.1889732859,-3.82126129764,CHATEAUNEUF DU FAOU,29
34179,34570,43.6095675101,3.73935842429,MURVIEL LES MONTPELLIER,34
33243,33500,44.9130767869,-0.234709332068,LIBOURNE,33
44103,44550,47.3232368527,-2.1467366036,MONTOIR DE BRETAGNE,44
34187,34390,43.540135455,2.91772316116,OLARGUES,34
10018,10130,48.0923181622,3.92346188322,AUXON,10
45203,45130,47.8397230739,1.69811579508,MEUNG SUR LOIRE,45
77335,77124,48.9719332783,2.83158634864,CHAUCONIN NEUFMONTIERS,77
62386,62160,50.4496814864,2.74513302656,GRENAY,62
74276,74440,46.1265071577,6.60770716363,TANINGES,74
14338,14510,49.2974071263,-0.0677562139709,HOULGATE,14
25332,25170,47.2443013496,5.81882619384,LAVERNAY,25
13005,13400,43.2934843764,5.56331273477,AUBAGNE,13
91471,91400,48.7004093953,2.18737051177,ORSAY,91
24096,24530,45.400469208,0.69507098451,CHAMPAGNAC DE BELAIR,24
34108,34110,43.4482458873,3.74923522416,FRONTIGNAN,34
84091,84420,44.1774697051,4.76585289056,PIOLENC,84
40197,40110,44.0410936254,-0.888623636398,MORCENX,40
48080,48300,44.7237405653,3.83363110341,LANGOGNE,48
33016,33240,44.948000841,-0.426140042682,ASQUES,33
26064,26120,44.9082255842,5.00743034189,CHABEUIL,26
31149,31770,43.611551508,1.32700218407,COLOMIERS,31
34344,34280,43.5685394142,4.0758328467,LA GRANDE MOTTE,34
59606,59300,50.3588666163,3.51567664819,VALENCIENNES,59
40201,40250,43.7412885635,-0.752690282166,MUGRON,40
48061,48400,44.3162079295,3.58273527435,FLORAC TROIS RIVIÈRES,48
48095,48000,44.5294508592,3.48086881176,MENDE,48
17077,17270,45.1273503043,-0.207698631448,CERCOUX,17
18145,18510,47.241732115,2.49021091816,MENETOU SALON,18
14437,14120,49.1693649378,-0.310691187417,MONDEVILLE,14
72059,72430,47.9198250308,-0.154140183084,CHANTENAY VILLEDIEU,72
14762,14500,48.8512498219,-0.889601911342,VIRE NORMANDIE,14
94080,94300,48.8473732045,2.43798650741,VINCENNES,94
97311,97320,4.96474398632,-53.9832113662,ST LAURENT DU MARONI,973
67150,67117,48.6105637831,7.55789773047,FURDENHEIM,67
40192,40000,43.899361404,-0.490722577455,MONT DE MARSAN,40
04070,4000,44.0908723554,6.23590323452,DIGNE LES BAINS,4
79057,79170,46.1418337503,-0.218953610699,BRIOUX SUR BOUTONNE,79
19042,19330,45.3124205901,1.6226623783,CHANTEIX,19
41269,41100,47.8013026692,1.06106057175,VENDOME,41
95205,95440,49.0260643173,2.38485695599,ECOUEN,95
37022,37420,47.1939476684,0.186243013287,BEAUMONT EN VERON,37
95500,95300,49.0513737853,2.09487928948,PONTOISE,95
24026,24330,45.1789592433,0.820956969026,BASSILLAC,24
13103,13300,43.6462885238,5.06814649576,SALON DE PROVENCE,13
68154,68110,47.7734992,7.36011136903,ILLZACH,68
22362,22220,48.7850465816,-3.23178776538,TREGUIER,22
38130,38260,45.3834360946,5.26068376928,LA COTE ST ANDRE,38
97411,97400,-20.9329708192,55.446867167,ST DENIS,974
97209,97234,14.6411114389,-61.0691889244,FORT DE FRANCE,972
57666,57180,49.3465483422,6.13220160083,TERVILLE,57
35145,35660,47.733471612,-1.87194975237,LANGON,35
94073,94320,48.7607841928,2.38537729524,THAIS,94
54581,54800,49.1209779475,5.87272709272,VILLE SUR YRON,54
34209,34420,43.301736727,3.3476310741,PORTIRAGNES,34
