codeINSEE,communeINSEE,codePostal,latitude,longitude,departement
25056,BESANCON,25000,47.2553872249,6.01948696494,25
48039,CHANAC,48230,44.4502200567,3.34457977647,48
71543,TOURNUS,71700,46.5651726015,4.90012429206,71
29031,CLOHARS CARNOET,29360,47.7943407144,-3.56681364982,29
61464,SEES,61500,48.6048296774,0.169026415284,61
35093,DINARD,35800,48.6241805945,-2.0619828606,35
60157,CLERMONT DE L OISE,60600,49.3777168975,2.40891709196,60
58194,NEVERS,58000,46.9881194908,3.15689130958,58
30140,LASALLE,30460,44.0428979358,3.85182045128,30
35360,VITRE,35500,48.1140815063,-1.19370720718,35
91103,BRETIGNY SUR ORGE,91220,48.6025113399,2.3021623232,91
17197,JONZAC,17500,45.4419827405,-0.427614839205,17
26362,VALENCE,26000,44.9229811667,4.91444013136,26
19272,TULLE,19000,45.2731516999,1.76313875655,19
49307,ANDARD,49800,47.4219645317,-0.319673646947,49
44077,JOUE SUR ERDRE,44440,47.5092437538,-1.42943494948,44
54157,DIEULOUARD,54380,48.8340364411,6.05567802778,54
25395,MONTFAUCON,25660,47.2418571296,6.08660837587,25
46118,GIGNAC,46600,44.9899523314,1.46272754104,46
45075,LA CHAPELLE ST MESMIN,45380,47.8887063362,1.82847184827,45
31091,BRUGUIERES,31150,43.7271508931,1.40915818124,31
81115,LABASTIDE ROUAIROUX,81270,43.4826602247,2.63557921234,81
05061,GAP,5000,44.5798600596,6.06486052138,5
79195,NUEIL LES AUBIERS,79250,46.9403172404,-0.596385417876,79
26114,DIEULEFIT,26220,44.5310329912,5.06528375642,26
52448,ST DIZIER,52100,48.6280100668,4.94923523578,52
24345,QUEYSSAC,24140,44.9151488173,0.532361895474,24
44055,LA BAULE,44500,47.2909720179,-2.3538291745,44
66017,LE BARCARES,66420,42.8127710984,3.02834125149,66
30028,BAGNOLS SUR CEZE,30200,44.1622496736,4.62477380854,30
78640,VELIZY VILLACOUBLAY,78140,48.783985823,2.19707485523,78
38053,BOURGOIN JALLIEU,38300,45.6022027954,5.27393762111,38
78146,CHATOU,78400,48.8965574645,2.15393458329,78
91363,MARCOUSSIS,91460,48.6463321888,2.20621393661,91
93055,PANTIN,93500,48.8983093876,2.40872147475,93
38563,VOIRON,38500,45.3791720843,5.58240310671,38
56061,LA GACILLY,56200,47.7728317091,-2.15651114837,56
94022,CHOISY LE ROI,94600,48.764315118,2.41742518222,94
